country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Romania,2024,ROU,19015096.0,,3.721,0.196,68.551,0.685,1.01,47.184,-0.601,-1.259,2.481,,0.133,3.605,,0.193,8.042,0.423,,,,269.679,8861.765,11851.871,2621.524,34.315,3000.333,3175.609,2896.614,39.299,18694.158,,0.796,0.042,20.895,1.099,4.486,4.747,-21.367,-1.124,21.646,1.138,10.187,0.536,34.462,1.812,0.033,0.635,355.471,0.253,0.178,0.109,0.051,0.543,0.479,0.431,0.308,0.17,1.085,0.35,0.454,0.264,0.191,0.261,-0.466,0.276,0.15,0.373,0.001,0.005,0.006,0.0,90.268,85.303,,
Spain,2020,ESP,47679482.0,1460507935923.0,8.192,0.172,211.765,-38.909,-15.522,190.759,-36.954,-16.228,4.001,0.131,0.134,4.441,0.145,0.149,14.23,0.298,251.864,5.282,0.172,696.407,14801.396,16859.268,4820.685,81.769,1585.931,2060.117,7505.951,110.653,29844.283,0.974,3.622,0.076,64.231,1.347,4.952,5.523,-21.006,-0.441,46.022,0.965,21.774,0.457,118.78,2.491,0.057,2.711,1422.96,0.504,0.602,0.481,0.1,1.603,0.872,0.653,0.612,0.442,0.647,0.232,1.273,0.841,0.905,0.854,-0.465,1.087,0.655,0.622,0.002,0.007,0.01,0.001,263.355,236.116,40.1,18.936
Spain,2021,ESP,47735670.0,1541121952313.0,8.472,0.177,228.806,17.041,8.047,228.53,37.771,19.801,4.787,0.148,0.149,4.793,0.148,0.149,16.011,0.335,275.255,5.766,0.179,704.879,15030.201,17087.799,4836.695,85.332,1654.034,2059.842,7635.665,113.597,32091.293,0.994,3.563,0.075,68.103,1.427,5.308,6.157,-0.275,-0.006,45.944,0.962,21.788,0.456,129.714,2.717,0.062,2.944,1531.899,0.508,0.621,0.55,0.107,1.563,0.866,0.651,0.602,0.451,0.654,0.231,1.27,0.836,0.886,0.864,-0.006,1.127,0.674,0.62,0.002,0.007,0.01,0.001,293.887,253.366,46.449,20.301
Spain,2022,ESP,47828386.0,1625139888517.0,7.715,0.161,234.223,5.418,2.368,225.673,-2.857,-1.25,4.718,0.139,0.142,4.897,0.144,0.147,17.703,0.37,278.598,5.825,0.171,712.593,15264.425,17313.471,4854.398,89.207,1721.295,2051.292,7770.694,116.237,33289.133,0.98,3.875,0.081,67.262,1.406,5.408,6.086,-8.55,-0.179,44.986,0.941,19.814,0.414,135.029,2.823,0.055,2.639,1592.166,0.489,0.624,0.533,0.115,1.527,0.861,0.65,0.593,0.462,0.66,0.229,1.267,0.829,0.972,0.867,-0.179,1.133,0.618,0.618,0.002,0.007,0.01,0.001,291.098,258.654,44.374,18.945
Spain,2023,ESP,47911583.0,,7.48,0.156,215.461,-18.763,-8.011,205.152,-20.521,-9.093,4.282,,0.131,4.497,,0.137,12.536,0.262,260.615,5.44,,720.073,15479.886,17518.623,4866.935,92.739,1779.464,2040.983,7901.939,118.734,32760.994,,3.532,0.074,58.169,1.214,5.0,5.644,-10.309,-0.215,44.667,0.932,19.092,0.398,131.246,2.739,0.052,2.498,1569.631,0.486,0.566,0.479,0.08,1.493,0.855,0.647,0.584,0.47,0.663,0.226,1.263,0.822,0.859,0.745,-0.217,1.069,0.588,0.615,0.002,0.007,0.01,0.001,270.414,239.578,45.155,20.957
Spain,2024,ESP,47910533.0,,7.838,0.164,220.341,4.881,2.265,209.877,4.725,2.303,4.381,,0.129,4.599,,0.136,11.299,0.236,,,,727.912,15700.227,17728.5,4878.233,96.272,1835.164,2030.519,8041.415,121.232,33901.656,,3.532,0.074,55.699,1.163,5.103,5.742,-10.464,-0.218,44.595,0.931,18.848,0.393,139.475,2.911,0.052,2.498,1624.246,0.532,0.571,0.486,0.071,1.465,0.849,0.644,0.574,0.478,0.664,0.224,1.26,0.815,0.85,0.695,-0.228,1.118,0.589,0.612,0.002,0.008,0.01,0.001,275.092,244.479,,
Sweden,2020,SWE,10353682.0,456885314424.0,1.272,0.123,36.622,-4.15,-10.179,44.518,-3.96,-8.168,4.3,0.097,0.074,3.537,0.08,0.061,6.641,0.641,60.12,5.807,0.132,110.55,4984.838,7371.114,1502.37,17.061,69.089,2387.254,3266.606,19.161,57977.379,1.314,0.449,0.043,1.446,0.14,4.16,5.448,7.896,0.763,7.964,0.769,6.506,0.628,26.282,2.538,0.051,0.532,600.279,0.078,0.104,0.112,0.047,0.255,0.294,0.286,0.191,0.092,0.028,0.269,0.554,0.146,0.112,0.019,0.175,0.24,0.128,0.255,0.0,0.003,0.004,0.0,56.409,43.07,23.498,64.163
Sweden,2021,SWE,10416134.0,481492421258.0,1.259,0.121,38.568,1.946,5.313,47.193,2.674,6.007,4.531,0.098,0.074,3.703,0.08,0.061,6.984,0.671,66.18,6.354,0.137,111.809,5023.407,7418.307,1509.354,17.076,70.989,2395.879,3294.497,19.681,60836.348,1.316,0.015,0.001,1.9,0.182,4.324,5.744,8.625,0.828,7.942,0.762,6.362,0.611,27.891,2.678,0.05,0.519,633.68,0.076,0.105,0.114,0.047,0.248,0.29,0.283,0.188,0.09,0.028,0.268,0.548,0.145,0.004,0.024,0.185,0.242,0.119,0.252,0.0,0.003,0.004,0.0,59.835,45.042,27.612,71.592
Sweden,2022,SWE,10487335.0,494214521158.0,1.234,0.118,36.342,-2.226,-5.771,45.764,-1.429,-3.028,4.364,0.093,0.074,3.465,0.074,0.058,6.54,0.624,66.339,6.326,0.134,113.043,5059.749,7464.071,1515.894,17.095,72.153,2405.3,3320.124,21.44,59279.207,1.258,0.019,0.002,1.163,0.111,4.071,5.46,9.422,0.898,7.94,0.757,6.247,0.596,25.627,2.444,0.168,1.759,621.681,0.078,0.097,0.108,0.042,0.242,0.285,0.28,0.185,0.089,0.028,0.268,0.541,0.153,0.005,0.015,0.197,0.215,0.412,0.249,0.0,0.003,0.004,0.0,57.26,42.697,29.997,82.541
Sweden,2023,SWE,10551493.0,,1.165,0.11,36.709,0.366,1.008,45.804,0.04,0.087,4.341,,0.076,3.479,,0.061,6.508,0.617,61.722,5.85,,114.208,5096.457,7509.874,1522.402,17.107,73.54,2414.396,3346.072,23.127,56802.957,,0.012,0.001,1.388,0.132,4.077,5.446,9.095,0.862,7.923,0.751,6.057,0.574,25.949,2.459,0.16,1.687,599.356,0.076,0.096,0.107,0.042,0.237,0.281,0.277,0.183,0.087,0.027,0.268,0.535,0.16,0.003,0.018,0.192,0.211,0.397,0.247,0.0,0.003,0.004,0.0,57.466,43.02,25.013,68.139
Sweden,2024,SWE,10606993.0,,1.2,0.113,38.097,1.388,3.781,46.087,0.284,0.619,4.345,,0.076,3.592,,0.062,6.546,0.617,,,,115.408,5134.554,7555.962,1528.948,17.12,75.043,2422.386,3373.221,24.813,57509.574,,0.012,0.001,1.503,0.142,4.188,5.369,7.991,0.753,7.925,0.747,6.066,0.572,27.149,2.56,0.159,1.687,610.004,0.081,0.099,0.107,0.041,0.232,0.278,0.275,0.18,0.085,0.027,0.267,0.529,0.167,0.003,0.019,0.174,0.218,0.397,0.244,0.0,0.003,0.004,0.0,56.954,44.427,,
Switzerland,2020,CHE,8640582.0,525896489462.0,1.658,0.192,34.343,-2.479,-6.732,34.04,-2.567,-7.012,3.94,0.065,0.11,3.975,0.065,0.111,0.414,0.048,109.806,12.708,0.209,135.563,3025.16,3281.464,591.959,1.214,224.75,284.854,2064.869,6.806,35831.172,0.589,0.026,0.003,6.67,0.772,4.233,4.85,-0.303,-0.035,5.719,0.662,2.186,0.253,25.416,2.941,0.018,0.159,309.602,0.102,0.098,0.086,0.003,0.312,0.178,0.127,0.075,0.007,0.092,0.032,0.35,0.052,0.007,0.089,-0.007,0.232,0.038,0.115,0.0,0.001,0.002,0.0,41.904,36.572,75.463,219.732
Switzerland,2021,CHE,8707019.0,548098275898.0,1.711,0.197,35.902,1.559,4.54,35.752,1.712,5.03,4.106,0.065,0.123,4.123,0.066,0.124,0.423,0.049,120.789,13.873,0.22,137.274,3061.062,3317.217,592.382,1.233,232.022,284.704,2091.178,6.973,33316.562,0.529,0.019,0.002,7.272,0.835,4.396,5.038,-0.15,-0.017,5.842,0.671,2.199,0.253,26.31,3.022,0.019,0.167,290.088,0.103,0.097,0.086,0.003,0.304,0.176,0.126,0.074,0.007,0.092,0.032,0.348,0.051,0.005,0.092,-0.003,0.229,0.038,0.115,0.0,0.001,0.002,0.0,43.869,38.275,84.886,236.436
Switzerland,2022,CHE,8792180.0,559384947989.0,1.667,0.19,32.951,-2.952,-8.222,32.794,-2.959,-8.275,3.73,0.059,0.11,3.748,0.059,0.111,0.434,0.049,125.669,14.293,0.225,138.941,3094.013,3350.01,592.817,1.255,238.045,284.547,2115.814,7.141,33835.207,0.532,0.022,0.002,6.023,0.685,4.018,4.635,-0.157,-0.018,5.879,0.669,2.162,0.246,24.636,2.802,0.019,0.168,297.485,0.106,0.088,0.078,0.003,0.298,0.175,0.126,0.072,0.006,0.091,0.032,0.345,0.051,0.005,0.078,-0.003,0.207,0.039,0.114,0.0,0.002,0.002,0.0,40.751,35.325,92.718,281.386
Switzerland,2023,CHE,8870564.0,,1.506,0.17,31.977,-0.973,-2.953,31.843,-0.95,-2.898,3.59,,0.1,3.605,,0.101,0.354,0.04,118.33,13.34,,140.447,3125.99,3381.854,593.171,1.269,243.608,284.413,2140.196,7.299,35766.453,,0.014,0.002,5.563,0.627,3.88,4.502,-0.134,-0.015,5.953,0.671,2.201,0.248,24.382,2.749,0.018,0.158,317.269,0.098,0.084,0.074,0.002,0.291,0.173,0.125,0.071,0.006,0.091,0.032,0.342,0.051,0.003,0.071,-0.003,0.199,0.037,0.113,0.0,0.002,0.002,0.0,39.939,34.421,86.352,270.04
Switzerland,2024,CHE,8921979.0,,1.506,0.169,32.072,0.094,0.295,31.944,0.101,0.316,3.58,,0.094,3.595,,0.095,0.355,0.04,,,,141.954,3158.062,3413.798,593.526,1.283,249.255,284.285,2164.587,7.457,38025.828,,0.014,0.002,5.647,0.633,3.877,4.496,-0.128,-0.014,6.025,0.675,2.191,0.246,24.391,2.734,0.018,0.158,339.266,0.102,0.083,0.074,0.002,0.286,0.171,0.124,0.07,0.006,0.09,0.031,0.339,0.05,0.003,0.071,-0.003,0.196,0.037,0.113,0.0,0.002,0.002,0.0,40.11,34.589,,
United Kingdom,2020,GBR,67351860.0,2334804059780.0,3.9,0.058,326.263,-38.49,-10.552,335.432,-39.923,-10.636,4.98,0.144,0.169,4.844,0.14,0.165,22.809,0.339,469.892,6.977,0.201,519.647,78805.227,78503.18,56824.559,286.981,7024.368,3288.03,14037.152,112.524,29440.059,0.849,3.443,0.051,149.42,2.218,5.167,6.114,9.169,0.136,44.528,0.661,28.932,0.43,143.981,2.138,0.04,2.71,1982.843,0.24,0.928,0.845,0.16,1.196,4.641,3.041,7.211,1.55,2.866,0.37,2.38,0.855,0.861,1.987,0.203,1.317,0.655,2.493,0.003,0.035,0.039,0.001,411.774,348.027,143.629,44.022
United Kingdom,2021,GBR,67668788.0,2512190098029.0,4.215,0.062,342.366,16.102,4.935,344.395,8.964,2.672,5.089,0.137,0.173,5.059,0.136,0.172,23.758,0.351,517.614,7.649,0.206,523.862,79147.594,78847.578,56848.316,290.485,7182.871,3290.06,14186.778,115.283,29422.24,0.793,3.504,0.052,158.503,2.342,5.389,6.292,2.03,0.03,44.922,0.664,29.73,0.439,149.626,2.211,0.041,2.759,1990.967,0.253,0.929,0.829,0.159,1.162,4.562,3.006,7.08,1.536,2.839,0.368,2.359,0.848,0.871,2.012,0.044,1.3,0.632,2.461,0.003,0.035,0.039,0.001,425.768,364.653,175.249,51.188
United Kingdom,2022,GBR,68179315.0,2615230634906.0,4.045,0.059,311.118,-31.248,-9.127,310.712,-33.684,-9.78,4.557,0.119,0.155,4.563,0.119,0.155,19.979,0.293,502.77,7.374,0.192,527.907,79458.711,79158.297,56868.297,293.681,7317.918,3289.654,14333.113,117.799,29480.258,0.769,3.196,0.047,135.047,1.981,4.885,5.751,-0.406,-0.006,44.674,0.655,28.922,0.424,146.334,2.146,0.037,2.516,2009.944,0.256,0.829,0.734,0.129,1.131,4.483,2.97,6.949,1.521,2.806,0.366,2.337,0.84,0.801,1.741,-0.008,1.228,0.589,2.428,0.003,0.035,0.04,0.001,392.132,333.067,191.652,61.601
United Kingdom,2023,GBR,68682965.0,,3.515,0.051,307.826,-3.292,-1.058,305.269,-5.443,-1.752,4.445,,0.158,4.482,,0.16,17.914,0.261,487.1,7.092,,531.422,79766.547,79463.562,56886.211,297.008,7443.685,3287.097,14487.797,120.419,28094.684,,3.327,0.048,125.766,1.831,4.794,5.629,-2.557,-0.037,44.023,0.641,28.327,0.412,154.684,2.252,0.038,2.62,1929.626,0.228,0.808,0.713,0.115,1.102,4.406,2.934,6.821,1.506,2.772,0.364,2.316,0.834,0.809,1.612,-0.054,1.26,0.616,2.397,0.003,0.036,0.04,0.001,386.611,329.246,179.274,58.239
United Kingdom,2024,GBR,69138185.0,,3.624,0.052,312.906,5.079,1.65,308.374,3.105,1.017,4.46,,0.159,4.526,,0.162,16.948,0.245,,,,535.046,80079.445,79771.938,56903.16,300.428,7570.305,3282.565,14647.397,123.112,28015.771,,3.42,0.049,126.62,1.831,4.833,5.645,-4.532,-0.066,43.812,0.634,28.062,0.406,159.6,2.308,0.039,2.693,1936.96,0.246,0.811,0.714,0.107,1.077,4.331,2.899,6.696,1.492,2.737,0.362,2.296,0.828,0.823,1.581,-0.099,1.28,0.635,2.367,0.002,0.036,0.04,0.001,390.275,334.159,,
